Kommunenavn ,Fornavn ,Efternavn ,Parti ,Periode,Indbyggertal
Bramsnæs ,Sander ,Jacobsen ,Venstre ,1988-1989 
Bramsnæs ,Svend ,Madsen ,Venstre ,1990-1993 
Bramsnæs ,Carsten ,Rasmussen ,Socialdemokratiet ,1994-2001 
Bramsnæs ,Flemming ,Jensen ,Venstre ,2002-2006 
Brande ,Julius ,Kristensen ,Lokalliste ,1970-1980 
Brande ,Eli Rubeck ,Rasmussen ,Det Konservative Folkeparti ,1980-1989 
Brande ,Lise ,Hvelplund ,Det Konservative Folkeparti ,1990-1993 
Brande ,Karl ,Kristensen ,Venstre ,1994-1997 
Brande ,Preben Hørlykke ,Christensen ,Lokalliste ,1998-2006 
Bredebro ,Peter ,Kjær ,Venstre ,1970-1989 
Bredebro ,Lauge ,Jepsen ,Venstre ,1990-1997 
Bredebro ,Ib Lindegaard ,Nielsen ,Socialdemokratiet ,1998-2001 
Bredebro ,Vagn Therkel ,Pedersen ,Venstre ,2002-2006 
Broager ,Thomas ,Jensen ,Socialdemokratiet ,1970-1974 
Broager ,Peter ,Nielsen ,Socialdemokratiet ,1974-1978 
Broager ,Niels ,Krogh-Hansen ,Lokalliste ,1978-1985 
Broager ,Peter ,Nielsen ,Socialdemokratiet ,1986-1989 
Broager ,Jørn Lehmann ,Petersen ,Socialdemokratiet ,1990-2006 
Broby ,Harald ,Nielsen ,Det Konservative Folkeparti ,1970-1972 
Broby ,Jørgen ,Marthedal ,Venstre ,1972-1978 
Broby ,Knud E. ,Priisholm ,Socialdemokratiet ,1978-1981 
Broby ,Mogens ,Kierketerp-Møller ,Venstre ,1982-1989 
Broby ,Jens Otto ,Schepelern ,Socialdemokratiet ,1990-1993 
Broby ,Erling ,Bonnesen ,Venstre ,1994-2006 
Brovst ,Carl ,Nielsen ,Lokalliste ,1970-1985 
Brovst ,Henning ,Mysager ,Venstre ,1986-1997 
Brovst ,Ole ,Christensen ,Socialdemokratiet ,1998-2001 
Brovst ,Mogens ,Gade ,Venstre ,2002-2006 
Brædstrup ,Hans ,Mikkelsen ,Lokalliste ,1970-1977 
Brædstrup ,Vagn Vejen ,Petersen ,Venstre ,1977-1993 
Brædstrup ,Preben S. ,Andersen ,Venstre ,1994-2001 
Brædstrup ,Torkild ,Skifter ,Venstre ,2002-2006 
Brøndby ,Kjeld ,Rasmussen ,Socialdemokratiet ,1970-2005 
Brøndby ,Ib ,Terp ,Socialdemokratiet ,2005-2016 
Brøndby ,Kent ,Magelund ,Socialdemokratiet ,2016 - 
Brønderslev ,Peter Nielsen ,Jensen ,Venstre ,1970-1989 
Brønderslev ,Peder Ivar ,Nielsen ,Socialdemokratiet ,1990-1997 
Brønderslev ,Lene ,Hansen ,Socialdemokratiet ,1998-2001 
Brønderslev ,Jens Arne ,Hedegaard ,Venstre ,2002-2006 
Brønderslev ,Mikael ,Klitgaard ,Venstre ,2007-2009 
Brønderslev ,Lene ,Hansen ,Socialdemokratiet ,2010-2013 
Brønderslev ,Mikael ,Klitgaard ,Venstre ,2014- 
Brørup ,Thomas ,Bolvig ,Venstre ,1970-1985 
Brørup ,Jørgen B. ,Kiilerich ,Venstre ,1986-2001 
Brørup ,Egon ,Fræhr ,Venstre ,2002-2006 
Børkop ,Hans Bjerre ,Hansen ,Venstre ,1970-1978 
Børkop ,Thorvald ,Bang-Jensen ,Venstre ,1978-1985 
